id_ccaa;nombre_ccaa;abrev_ccaa;ccaa;anio;ind_fec
9;Cataluña;Cataluña;09 Cataluña;2008;1,53
9;Cataluña;Cataluña;09 Cataluña;2009;1,46
9;Cataluña;Cataluña;09 Cataluña;2010;1,46
9;Cataluña;Cataluña;09 Cataluña;2011;1,43
9;Cataluña;Cataluña;09 Cataluña;2012;1,4
9;Cataluña;Cataluña;09 Cataluña;2013;1,34
9;Cataluña;Cataluña;09 Cataluña;2014;1,39
9;Cataluña;Cataluña;09 Cataluña;2015;1,41
9;Cataluña;Cataluña;09 Cataluña;2016;1,41
9;Cataluña;Cataluña;09 Cataluña;2017;1,39
9;Cataluña;Cataluña;09 Cataluña;2018;1,33
9;Cataluña;Cataluña;09 Cataluña;2019;1,29
9;Cataluña;Cataluña;09 Cataluña;2020;1,22
10;Comunitat Valenciana;Com. Valenciana;10 Comunitat Valenciana;1975;2,91
10;Comunitat Valenciana;Com. Valenciana;10 Comunitat Valenciana;1976;2,94
10;Comunitat Valenciana;Com. Valenciana;10 Comunitat Valenciana;1977;2,85
10;Comunitat Valenciana;Com. Valenciana;10 Comunitat Valenciana;1978;2,72
10;Comunitat Valenciana;Com. Valenciana;10 Comunitat Valenciana;1979;2,54
10;Comunitat Valenciana;Com. Valenciana;10 Comunitat Valenciana;1980;2,34
10;Comunitat Valenciana;Com. Valenciana;10 Comunitat Valenciana;1981;2,15
10;Comunitat Valenciana;Com. Valenciana;10 Comunitat Valenciana;1982;2
10;Comunitat Valenciana;Com. Valenciana;10 Comunitat Valenciana;1983;1,81
10;Comunitat Valenciana;Com. Valenciana;10 Comunitat Valenciana;1984;1,73
10;Comunitat Valenciana;Com. Valenciana;10 Comunitat Valenciana;1985;1,62
10;Comunitat Valenciana;Com. Valenciana;10 Comunitat Valenciana;1986;1,55
10;Comunitat Valenciana;Com. Valenciana;10 Comunitat Valenciana;1987;1,48
10;Comunitat Valenciana;Com. Valenciana;10 Comunitat Valenciana;1988;1,45
10;Comunitat Valenciana;Com. Valenciana;10 Comunitat Valenciana;1989;1,39
10;Comunitat Valenciana;Com. Valenciana;10 Comunitat Valenciana;1990;1,38
10;Comunitat Valenciana;Com. Valenciana;10 Comunitat Valenciana;1991;1,34
10;Comunitat Valenciana;Com. Valenciana;10 Comunitat Valenciana;1992;1,32
